what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540989537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540989979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540991409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540991490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541071084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364541111899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541114809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541117455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541117588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541119210
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364541120402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541124979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541126135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541126232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541132444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541148966
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364541175739
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1364541175831
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541175950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541176106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364541182496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541186488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541187945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541188059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541221814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541224465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541226241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541226317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541242270
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541248168
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541250178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541251426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364541290609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364541291753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541296434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541297856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541297955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541300164
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541302223
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364541330582
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541352521
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364541387623
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541388350
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541388503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541410235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541412155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541412238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541428227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541441026
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1364541475551
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364541481129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364541521502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541539853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364541540247
